artist,track,duration_ms,uri
Against Me!,Black Me Out,187253,64iVxiM8zRfcUeOYXDFtS3
Bitch and Animal,Best Cock on the Block,219987,2v9iDETgjeaohEdsO7E92w
Jake Edwards,Pink & Blue,351147,5qDFAIBGXkDs75G9RBTpxz
Benny,Boys Will Be Boys,218056,3uhvGiBZWL2sot0pH0qRsR
Cavetown,This Is Home,226073,2TI2fw9FWPeah6N4k1b4NU
Left at London,Revolution Lover,142703,3qBg6BeHJlGgwl5aCa09EC
Dyke Drama,Crying In A Bathroom Stall,122321,7gvEYcHzDenUE7KoPDSpvY
Jinkx Monsoon,Just Me (The Gender Binary Blues),277720,6afaRKfujB20eezM5jsayL
Matt Fishel,Radio-Friendly Pop Song,229873,2XYWgfVEI64tTKl4NCxWIQ
G.L.O.S.S.,Masculine Artifice,81375,4QQ4UqsfbQYw4wB9aGFU9J
Against Me!,I Was a Teenage Anarchist,195160,5UwGMbEKlvXFj7DXI1d0P1
Jake Edwards,Changes,151291,2YkYAJIEHSZSn0qqJvyRBq
Katastrophe,Something Different,195907,6GLPyrECWbSM8h3KhBF1lQ
Mallrat,I Don't Hate My Body I'm Just Afraid of It,117010,0DEIW2mFGt8zyrLZguMULi
Limp Wrist,Fake Fags,97547,5sutRngdbW01YegS9jkV5z
Pansy Division,Blame the Bible,218160,0yp8Bo0AfL89ctPxCpG2tU
Art Project,Pretty boy,144139,60qqK5BgdlvHjtERmW6200
Against Me!,Paralytic States,192587,6iNCBysBe8sSqElsPCiwKt
Katastrophe,Man Enough,107120,7cruHH1vV8argDd9r6Oo3x
Left at London,I Don't Trust U Anymore,151563,3k1xI9HUi76EEhKkWxYtbe
G.L.O.S.S.,Targets of Men Targets of Men,113000,4NYRtDYROQW2D2ctcylcri
Bitch and Animal,Boy Girl Wonder,201507,6ZT0asT2pvIZPiEG1LyEJE
Skylar Kergil,Brothers,239747,58z9RRsYcai9hlFKuhgHNl
Bratmobile,Gimme Brains,136880,2ICGarWJwQiIGMl07os7sQ
Ryan Cassata,Bedroom Eyes,183613,0SdAxMZrA52HSBQG9oon8b
Namoli Brennet,Boy in a Dress,296973,02L1ngagXNRt8W3Flbe9Sw
Jonesin' and the Hurt,Genderless (Hidden),231163,5DGtpkRDmGMZFLfDsI3JgE
She/Her/hers,Family,278750,5vbNso6mEMCw9Qo9OPGinb
Various Artists,Homo Christmas,155080,0GBNZzY48JTQyNQL4ujfLJ
Athens Boys Choir,The Metrosexual Threw Off My Gaydar,158827,3Hcdnp3qDZG6inzM0fDTfd
Namoli Brennet,Thorn in Your Side,269000,14305jxEkGHw5fS3SuKziF
PWR BTTM,I Wanna Boi,122973,6shhReGKYdzCXtXxCIc1dF
Skylar Kergil,On Birds and Bodies,273831,7BUxXRuirynjW5r9TAdpUt
Lip Shit Queers,Gender Queer,277014,3pkTe4qIPOtIOEVBnkir22
The Spook School,I Want to Kiss You,171107,5mw9SltQ4R2vIlCCxbsbI1
Elmo Sexwhistle,Genderfuck!,249801,0732vvmo0tqLdYETD9uX3r
Athens Boys Choir,Tranny Got Pack (Revised),106960,0bgQdNIFZpNT5zDiP5WpIG
Good Asian Drivers,Third Gender,212747,057gxE4ekZzEJbc9zi7ByU
The Homophones,Mala Strana,136720,30WP4JherzL69XQVzOvjRu
The Homophones,Mala Strana,136720,30WP4JherzL69XQVzOvjRu
Namoli Brennet,Marjorie,175466,5px0q4BOJoL26xBxeZCqoz
Dazey and the Scouts,Sweet Cis Teen,273302,3BtI05wNziDrIODXJqdKkK
Shoplifting,Male Gynecology,188213,3XhqrYTTx6ccfaYAdQKeDW
Gay Panic,Joy Boy,204307,1E2046mWgotmxbXXT8z30h
Dog Park Dissidents,Trans Starship Feminist Bdsm Paradise,181875,3qkhVY8Lg2v8IpL9kVRV2J
Angel Haze,Battle Cry,292098,13kiXTWqDhjZFh6A8dsJvl
Limp Wrist,Want Us Dead,91280,7CmEkoKx2RQXSjYkGkmXB9
Shawnee,Warrior Heart,262387,6iFyLU1hplV5Zc3uT7wGV2
Mother Mother,Body Of Years,278400,23bbkcQn2xZ9RXfTWY9lmK
Jay Boogie,Precious,252400,3AicVN3XffQb1iZRhtzm0Y
Poppy,Am I A Girl?,217855,6v3b2lQADc1ugsXvrqYZIB
Rae Spoon,Do Whatever the Heck You Want,169253,6qqeiwr7YiljWgjjTf9nRg
Ren Stedman,Bigger balls than you,247500,5iLyangX7Qyp88ZqxhLIu2
