artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
cupcakKe,Lgbt,0.793,0.86,0,-8.663,0,0.172,0.169,1.73E-05,0.101,0.392,124.961,161332
Tribe 8,Wrong Bathroom,0.44,0.933,11,-4.947,1,0.181,0.0904,0,0.168,0.526,133.352,175867
Art Project,Gender Nightmare,0.606,0.849,9,-8.714,1,0.0409,0.613,0.000167,0.0937,0.546,120.017,173865
Pansy Division,Fem in a Black Leather Jacket,0.531,0.852,7,-6.547,1,0.0463,0.439,0.000234,0.107,0.85,150.52,123690
The Mourning Sickness,Gender Trouble,0.643,0.674,11,-8.316,0,0.0344,0.000521,0.00391,0.062,0.688,108.276,280413
Team Dresch,Fagetarian and Dyke,0.253,0.976,0,-6.949,1,0.0763,0.0115,0.773,0.0985,0.388,100.31,165560
She/Her/hers,Gender Is Boring,0.634,0.456,7,-5.6,1,0.0529,0.812,0,0.113,0.35,108.411,187164
Ste McCabe,Queer Clubbing,0.634,0.997,0,-6.371,1,0.0914,0.0914,2.60E-05,0.385,0.11,156.363,120107
Skin Jobs,Gender Bender,0.274,0.91,11,-6.486,1,0.0667,0.000595,1.41E-05,0.638,0.218,137.22,352707
Sleater-Kinney,I Wanna Be Your Joey Ramone,0.391,0.942,1,-3.109,1,0.0634,0.04,0.489,0.131,0.618,137.649,156987
GRLwood,Bisexual,0.596,0.927,11,-6.241,0,0.0727,0.0142,0.00913,0.0665,0.641,132.984,120341
The Spook School,Binary,0.272,0.893,0,-7.704,1,0.0589,0.0443,0.00881,0.588,0.51,151.099,195080
Jake Edwards,Second Puberty,0.47,0.149,0,-16.98,1,0.0498,0.924,0,0.11,0.373,135.254,225128
She/Her/hers,Nvr Pass,0.463,0.419,4,-6.966,1,0.0327,0.164,2.50E-05,0.0853,0.71,85.803,230350
Human Kitten,Gender Bronoun,0.589,0.286,7,-10.576,1,0.0639,0.622,0,0.151,0.52,118.492,97097
G.L.O.S.S.,G.L.O.S.S. (We're from the Future),0.17,0.875,9,-6.848,1,0.109,3.35E-05,0.126,0.329,0.5,89.229,91250
Various Artists,Daughterson,0.626,0.221,0,-21.322,1,0.0618,0.762,0,0.611,0.784,120.933,221180
Size Of Sadness,Trans Punx (no bullshit),0.447,0.705,8,-9.678,1,0.0701,0.000107,0.00209,0.147,0.925,179.926,133108
Tribe 8,Femme Bitch Top,0.426,0.714,2,-8.573,1,0.0499,0.00881,0.000675,0.293,0.689,78.804,210133
Athens Boys Choir,Fagette,0.74,0.695,10,-5.685,0,0.374,0.014,0,0.198,0.694,193.861,199027
Skylar Kergil,Tell Me a Story,0.605,0.348,4,-11.069,1,0.0325,0.719,1.15E-06,0.107,0.22,99.242,171053
The Spook School,Burn Masculinity,0.387,0.728,11,-6.093,1,0.0364,0.0148,0,0.235,0.368,166.368,122947
Wrabel,The Village,0.55,0.363,5,-7.326,1,0.0336,0.534,0,0.128,0.286,121.94,230293
Various Artists,they/them,0.698,0.494,11,-8.113,1,0.458,0.723,0,0.107,0.369,79.127,104865
Dani Shay,Girl or Boy (Live),0.552,0.125,1,-12.781,0,0.121,0.97,7.27E-06,0.101,0.507,173.455,167721
Ryan Cassata,Daughter,0.746,0.59,0,-8.526,1,0.0276,0.111,0,0.0884,0.705,91.958,180326
Benny,Little Game,0.606,0.54,1,-5.485,0,0.0412,0.0754,0,0.11,0.296,129.934,238534
Jake Edwards,You Can't Tell Me (I'm Not a Man) - 2019 Remaster,0.476,0.698,5,-7.61,1,0.0387,0.349,0.0312,0.132,0.256,112.959,267173
Marissa Kay,Trans Is Love,0.5,0.646,9,-10.894,1,0.0408,0.0137,0,0.207,0.693,169.904,218523
Various Artists,A Guy Named Joe,0.401,0.0341,0,-32.46,1,0.0374,0.936,0.000319,0.643,0.294,151.574,401268
Saint Wellesley,Dysphoria,0.439,0.0484,7,-18.169,1,0.0622,0.81,0,0.241,0.432,83.919,160899
Schmekel,New Men With Old Man Names,0.528,0.621,9,-12.141,0,0.137,0.038,0,0.253,0.69,153.857,290000
Mother Mother,Body,0.596,0.633,10,-3.602,0,0.0594,0.131,0,0.343,0.473,148.09,213573
Dyke Drama,Cis Girls,0.474,0.804,8,-4.539,1,0.0396,0.0043,0.00076,0.207,0.902,117.513,146488
Shawna Virago,Gender Armageddon,0.718,0.229,3,-12.742,1,0.0391,0.777,0,0.153,0.355,117.957,203996
7 Year Bitch,Dead Men Don't Rape,0.349,0.709,9,-12.339,0,0.0336,9.03E-06,0.0095,0.147,0.708,114.581,167333
G.L.O.S.S.,Lined Lips and Spiked Bats,0.288,0.872,9,-6.769,1,0.0408,1.59E-06,0.928,0.618,0.683,93.791,85625
Against Me!,Black Me Out,0.428,0.909,4,-3.997,1,0.035,0.0239,0,0.136,0.576,107.6,187253
Bitch and Animal,Best Cock on the Block,0.817,0.66,1,-9.682,0,0.214,0.175,0.000187,0.104,0.744,122.22,219987
Jake Edwards,Pink & Blue,0.359,0.301,6,-14.759,1,0.0358,0.776,0.107,0.0974,0.0392,136.045,351147
Benny,Boys Will Be Boys,0.711,0.553,6,-10.478,0,0.0408,0.279,0.00168,0.101,0.34,114.977,218056
Cavetown,This Is Home,0.81,0.266,7,-12.478,1,0.0407,0.56,1.05E-06,0.0962,0.212,130.041,226073
Left at London,Revolution Lover,0.538,0.817,6,-6.791,1,0.0774,0.153,0,0.503,0.717,147.957,142703
